"Accounts","Customer reference","Shipment number","Status","Delivery due date","ETA","Number of parcels","Weight","Product","Service","Dispatch date","Business/Recipient name","Contact number","Postal Code"
"F181494","JULY 26 PO289","60120251753485","Delivered","","","1","1","Parcels","Next day","14/07/2026","CENTER PARCS WHINFELL","01827280880","CA10 2DW"
"F181494","JULY 26 PO289","60120251753542","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB PLYMOUTH","01827280880","PL4 0LG"
"F181494","JULY 26 PO289","60120251753338","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - MILTON KEY","01827280880","MK1 1ST"
"F181494","JULY 26 PO289","60120251753572","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB EDINBURGH FORT KINNAIR","01827280880","EH15 3RD"
"F181494","JULY 26 PO289","60120251753239","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - ASHTON","01827280880","OL7 0PG"
"F181494","JULY 26 PO289","60120251753289","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITAILA - CHESHIRE O","01827280880","CH65 9HD"
"F181494","JULY 26 PO289","60120251753495","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB ASHTON UNDER LYNE","01827280880","OL7 0PG"
"F181494","JULY 26 PO289","60120251753534","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB NORTHAMPTON","01827280880","NN3 9HU"
"F181494","JULY 26 PO289","60120251753325","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - LEEDS BRIG","01827280880","LS1 6BR"
"F181494","JULY 26 PO289","60120251754333","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - YORK","01827280880","YO1 2HY"
"F181494","JULY 26 PO289","60120251753313","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - HUNTINGDON","01827280880","PE29 7EG"
"F181494","JULY 26 PO289","60120251753519","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB DERBY PRIDE PARK","01827280880","DE24 8BW"
"F181494","JULY 26 PO289","60120251753443","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - WALSALL","01827280880","WS2 8DH"
"F181494","JULY 26 PO289","60120251753516","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB DENTON","01827280880","M34 3JP"
"F181494","JULY 26 PO289","60120251754285","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - LIVERPOOL","01827280880","L1 1JP"
"F181494","JULY 26 PO289","60120251754314","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - PETERBOROU","01827280880","PE7 8FD"
"F181494","JULY 26 PO289","60120251753285","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - CASTLEFORD","01827280880","WF10 4TA"
"F181494","JULY 26 PO289","60120251753255","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - BOLTON","01827280880","BL6 6JA"
"F181494","JULY 26 PO289","60120251753511","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB CASTLEFORD","01827280880","WF10 4TA"
"F181494","JULY 26 PO289","60120251753287","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - CHESTER","01827280880","CH1 1LG"
"F181494","JULY 26 PO289","60120251753330","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - LEICESTER","01827280880","LE19 1JZ"
"F181494","JULY 26 PO289","60120251753522","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB LEICESTER","01827280880","LE19 1JZ"
"F181494","JULY 26 PO289","60120251753460","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - WOLVERHAMP","01827280880","WV11 1BP"
"F181494","JULY 26 PO289","60120251753373","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - SHEFFIELD","01827280880","S9 2EP"
"F181494","JULY 26 PO289","60120251753555","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB SHEFFIELD ARENA","01827280880","S9 2EP"
"F181494","JULY 26 PO289","60120251753275","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - BURTON","01827280880","DE14 1NQ"
"F181494","JULY 26 PO289","60120251753328","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - LEEDS WHIT","01827280880","LS11 8LU"
